id_municipio,nome_municipio,sigla_uf,regiao,taxa_alfabetizacao,criancas_nao_alfabetizadas,cluster
1100015,Alta Floresta D'Oeste,RO,Norte,67.81,99.0,2
1100023,Ariquemes,RO,Norte,65.62,413.0,2
1100031,Cabixi,RO,Norte,75.9,20.0,2
1100049,Cacoal,RO,Norte,65.88,293.0,2
1100056,Cerejeiras,RO,Norte,66.82,84.0,2
1100064,Colorado do Oeste,RO,Norte,71.72,55.0,2
1100072,Corumbiara,RO,Norte,72.67,40.0,2
1100080,Costa Marques,RO,Norte,59.64,87.0,2
1100098,Espigão D'Oeste,RO,Norte,71.17,105.0,2
1100106,Guajará-Mirim,RO,Norte,43.07,274.0,0
1100114,Jaru,RO,Norte,64.01,219.0,2
1100122,Ji-Paraná,RO,Norte,72.82,251.0,2
1100130,Machadinho D'Oeste,RO,Norte,64.77,165.0,2
1100148,Nova Brasilândia D'Oeste,RO,Norte,75.61,63.0,2
1100155,Ouro Preto do Oeste,RO,Norte,66.41,132.0,2
1100189,Pimenta Bueno,RO,Norte,81.06,100.0,2
1100205,Porto Velho,RO,Norte,50.84,2981.0,0
1100254,Presidente Médici,RO,Norte,71.13,45.0,2
1100262,Rio Crespo,RO,Norte,62.81,25.0,2
1100288,Rolim de Moura,RO,Norte,75.19,166.0,2
1100296,Santa Luzia D'Oeste,RO,Norte,83.38,14.0,2
1100304,Vilhena,RO,Norte,71.66,433.0,2
1100320,São Miguel do Guaporé,RO,Norte,69.14,101.0,2
1100338,Nova Mamoré,RO,Norte,45.31,253.0,0
1100346,Alvorada D'Oeste,RO,Norte,65.35,44.0,2
1100379,Alto Alegre dos Parecis,RO,Norte,79.54,41.0,2
1100403,Alto Paraíso,RO,Norte,60.43,79.0,2
1100452,Buritis,RO,Norte,72.3,134.0,2
1100502,Novo Horizonte do Oeste,RO,Norte,70.67,32.0,2
1100601,Cacaulândia,RO,Norte,78.87,16.0,2
1100700,Campo Novo de Rondônia,RO,Norte,71.95,50.0,2
1100809,Candeias do Jamari,RO,Norte,51.63,210.0,0
1100908,Castanheiras,RO,Norte,65.39,20.0,2
1100924,Chupinguaia,RO,Norte,72.9,48.0,2
1100940,Cujubim,RO,Norte,67.61,94.0,2
1101005,Governador Jorge Teixeira,RO,Norte,70.76,40.0,2
1101104,Itapuã do Oeste,RO,Norte,70.63,52.0,2
1101203,Ministro Andreazza,RO,Norte,69.18,27.0,2
1101302,Mirante da Serra,RO,Norte,73.81,40.0,2
1101401,Monte Negro,RO,Norte,69.9,57.0,2
1101435,Nova União,RO,Norte,70.91,27.0,2
1101450,Parecis,RO,Norte,70.6,19.0,2
1101468,Pimenteiras do Oeste,RO,Norte,57.65,18.0,2
1101476,Primavera de Rondônia,RO,Norte,57.64,29.0,2
1101484,São Felipe D'Oeste,RO,Norte,78.37,14.0,2
1101492,São Francisco do Guaporé,RO,Norte,63.01,111.0,2
1101500,Seringueiras,RO,Norte,66.06,67.0,2
1101559,Teixeirópolis,RO,Norte,65.29,20.0,2
1101609,Theobroma,RO,Norte,78.73,27.0,2
1101708,Urupá,RO,Norte,61.27,61.0,2
1101757,Vale do Anari,RO,Norte,55.65,55.0,0
1101807,Vale do Paraíso,RO,Norte,44.1,49.0,0
1200013,Acrelândia,AC,Norte,59.7,94.0,2
1200054,Assis Brasil,AC,Norte,49.15,63.0,0
1200104,Brasiléia,AC,Norte,46.68,204.0,0
1200138,Bujari,AC,Norte,26.7,133.0,0
1200179,Capixaba,AC,Norte,34.97,128.0,0
1200203,Cruzeiro do Sul,AC,Norte,42.18,434.0,0
1200252,Epitaciolândia,AC,Norte,52.27,160.0,0
1200302,Feijó,AC,Norte,53.34,97.0,0
1200328,Jordão,AC,Norte,19.59,39.0,0
1200336,Mâncio Lima,AC,Norte,38.06,161.0,0
1200344,Manoel Urbano,AC,Norte,42.48,128.0,0
1200351,Marechal Thaumaturgo,AC,Norte,62.82,60.0,0
1200385,Plácido de Castro,AC,Norte,33.79,133.0,0
1200393,Porto Walter,AC,Norte,39.8,55.0,0
1200401,Rio Branco,AC,Norte,55.64,767.0,0
1200427,Rodrigues Alves,AC,Norte,38.9,115.0,0
1200435,Santa Rosa do Purus,AC,Norte,15.62,64.0,0
1200450,Senador Guiomard,AC,Norte,43.69,85.0,0
1200500,Sena Madureira,AC,Norte,64.84,186.0,0
1200609,Tarauacá,AC,Norte,45.18,317.0,0
1200708,Xapuri,AC,Norte,51.91,58.0,0
1200807,Porto Acre,AC,Norte,39.69,197.0,0
1300029,Alvarães,AM,Norte,58.49,68.0,0
1300060,Amaturá,AM,Norte,64.57,67.0,0
1300086,Anamã,AM,Norte,53.49,18.0,0
1300102,Anori,AM,Norte,77.48,47.0,2
1300144,Apuí,AM,Norte,49.25,94.0,0
1300201,Atalaia do Norte,AM,Norte,84.08,29.0,2
1300300,Autazes,AM,Norte,35.05,362.0,0
1300409,Barcelos,AM,Norte,38.22,136.0,0
1300508,Barreirinha,AM,Norte,24.41,252.0,0
1300607,Benjamin Constant,AM,Norte,34.35,455.0,0
1300631,Beruri,AM,Norte,80.97,42.0,2
1300680,Boa Vista do Ramos,AM,Norte,31.92,115.0,0
1300706,Boca do Acre,AM,Norte,44.79,138.0,0
1300805,Borba,AM,Norte,22.82,120.0,0
1300839,Caapiranga,AM,Norte,21.71,62.0,0
1300904,Canutama,AM,Norte,70.76,54.0,2
1301001,Carauari,AM,Norte,49.2,119.0,0
1301100,Careiro,AM,Norte,17.29,349.0,0
1301159,Careiro da Várzea,AM,Norte,27.36,80.0,0
1301209,Coari,AM,Norte,32.72,325.0,0
1301308,Codajás,AM,Norte,40.59,118.0,0
1301407,Eirunepé,AM,Norte,23.81,181.0,0
1301506,Envira,AM,Norte,19.3,149.0,0
1301605,Fonte Boa,AM,Norte,35.56,162.0,0
1301654,Guajará,AM,Norte,54.67,89.0,0
1301704,Humaitá,AM,Norte,57.23,307.0,0
1301803,Ipixuna,AM,Norte,63.27,94.0,0
1301852,Iranduba,AM,Norte,34.37,619.0,0
1301902,Itacoatiara,AM,Norte,42.67,596.0,0
1301951,Itamarati,AM,Norte,82.24,20.0,2
1302009,Itapiranga,AM,Norte,32.81,52.0,0
1302108,Japurá,AM,Norte,91.93,8.0,2
1302207,Juruá,AM,Norte,44.12,35.0,0
