feature,importancia_media,importancia_dp
meta_alvo,0.012762773317428856,0.000705945395726583
sigla_uf,0.011970957818115125,0.00015706093298854934
rede,0.008523264906423434,0.0003049720756891372
taxa_limite_inferior_mun_t1,0.006662145279025799,0.0004263880987719868
proficiencia_media_mun_t1,0.005124548960996389,0.00030545703793126834
nota_saeb_mat_ai,0.0030593394150952636,0.0002246612987192626
ideb_ai,0.0015111135580531342,0.00011910437735782343
dsu_ai,0.000987925198727857,0.00023206550311788063
nota_saeb_lp_ai,0.0009290124339814909,0.00023372833932350345
pct_nivel_7_mun_t1,0.0008062296534931734,0.00018502552787497337
latitude,0.0007324373442566534,0.00013207488761849556
matriculas_ai,0.000657012786795752,0.0002391734470691805
pct_nivel_1_mun_t1,0.00047394524828665575,6.471513623711102e-05
rede_nome,0.00040298362683763853,3.20634514406353e-05
pct_critico_mun_t1,0.00037190902620161116,0.00011017591715772547
pct_nivel_3_mun_t1,0.0002531607569679295,9.76697747687084e-05
pct_familias_bolsa_familia,0.0002489869127390687,0.0001588462267670904
regiao,0.00022453312821033578,7.437611280370502e-05
pct_escolas_quadra,0.00021397525272777164,0.0001365349754983469
taxa_participacao_mun_t1,0.00018880436374644206,0.00014510138422956547
criancas_nao_alfabetizadas_mun_t1,0.00015652433596378135,4.719627454932114e-05
ic95_mun_t1,0.00013286501423737107,9.302285957642736e-05
idade_mediana,0.00012638422975432828,0.00011113144758304786
pct_escolas_internet,0.00010128078185402955,4.775071478371061e-05
densidade_demografica,9.837380528883166e-05,4.1496877880866895e-05
tdi_ai,7.312273099442379e-05,0.00013095322037318412
n_escolas_ai,5.9151625646891584e-05,8.037444299235446e-05
longitude,5.360490945869323e-05,4.521546241274593e-05
populacao,4.831053618483683e-05,4.2952980521087275e-05
sem_historico,3.6802763482346454e-05,4.2848098585779636e-05
pct_nivel_0_mun_t1,3.629144240875348e-05,4.078644900424823e-05
rendimento_ideb_ai,2.9126100638809937e-05,0.00010164129069570385
pct_nivel_4_mun_t1,1.2262919853545107e-05,8.161554307654711e-05
pct_nivel_2_mun_t1,3.264949822612273e-06,3.672595178675517e-05
alunos_por_turma_ai,2.5969625495614324e-06,8.840511700076412e-05
capital_uf,2.293252652441069e-06,6.808219620600001e-06
pct_va_servicos,0.0,0.0
projecao_ideb_ai,0.0,0.0
alerta_participacao_mun_t1,0.0,0.0
log_populacao,0.0,0.0
pct_va_adespss,0.0,0.0
pct_va_agropecuaria,0.0,0.0
pct_va_industria,0.0,0.0
log_pib_per_capita,0.0,0.0
amazonia_legal,-3.3729288533956845e-06,1.17481145160067e-06
pct_escolas_alimentacao,-9.461507926444846e-06,8.769360145691273e-06
docentes_ai,-1.929439633800989e-05,5.909107217750757e-05
pct_escolas_esgoto_rede,-2.340194914105531e-05,5.945382564935636e-05
domicilios_2022,-2.9194007408550605e-05,4.5976840769538776e-05
pop_2022,-4.1940570955190104e-05,4.128839664838182e-05
taxa_aprovacao_ideb_ai,-6.0124134967143306e-05,5.0189713542803494e-05
taxa_alfabetizacao_adultos,-7.235092276369759e-05,6.096856650508045e-05
area_km2,-7.34477164480829e-05,8.953219366988674e-05
pct_escolas_rurais,-7.865969525087114e-05,3.948786893370375e-05
taxa_limite_superior_mun_t1,-8.11286109983378e-05,0.0001259811755251476
pct_nivel_8_mun_t1,-8.20523144983154e-05,9.827126423575397e-05
alunos_avaliados_mun_t1,-9.333601702694594e-05,3.979754566758901e-05
pct_nivel_6_mun_t1,-0.00010705393447814071,6.575151661210235e-05
taxa_alfabetizacao_mun_t1,-0.00011373265180947278,5.786727141820022e-05
pct_pop_quilombola,-0.0001159652598528682,6.587416900380036e-05
pct_escolas_agua_potavel,-0.0001254301682467762,3.0869425520677375e-05
pct_escolas_energia_rede,-0.0001258738301596507,3.724206838474806e-05
pct_escolas_lab_informatica,-0.00013009901446674464,9.752664859651759e-05
pct_escolas_biblioteca,-0.00014675946996494104,8.170062076013459e-05
taxa_reprovacao_ai,-0.00015069275370005464,5.927591554768552e-05
pct_nivel_5_mun_t1,-0.00015162191344484378,0.00012127368326215899
taxa_aprovacao_ai,-0.0001622977891631905,6.709054459595222e-05
indice_envelhecimento,-0.00017396485387310978,9.09626710125576e-05
ird_baixa,-0.0001965362781672031,2.146246501287235e-05
ied_ai_nivel1,-0.00021081945069501007,4.9098849448823296e-05
afd_ai_grupo1,-0.0002116765499493356,0.00017097656824088003
had_ai,-0.00022052401050922654,1.5038628531134193e-05
pct_quase_la_mun_t1,-0.00023034461662743144,7.808310332726496e-05
pct_matriculas_integral_ai,-0.00023340467982180257,6.060014096430844e-05
pct_atencao_mun_t1,-0.00025388616865800183,1.9868896821576495e-05
atu_ai,-0.0002614773957068106,6.130088524882166e-05
razao_sexo,-0.00027446288291745893,0.000123008695485505
pib_per_capita,-0.000279302622775468,0.00011021450241344529
taxa_abandono_ai,-0.00034480407512849087,6.18171384841059e-05
pct_pop_indigena,-0.0005268749287029362,7.759721895277892e-05
alunos_por_docente_ai,-0.0005439977436147326,0.00010384433686141598
