id_aluno,id_escola,id_municipio,sigla_uf,prob_alfabetizado,risco_nao_alf,classe_prevista
16009282,60003743,1600600,AP,0.5476,0.4524,nao_alfabetizado
29130448,60014751,2918407,BA,0.2847,0.7153,nao_alfabetizado
23074298,60008514,2308708,CE,0.7708,0.2292,alfabetizado
29056531,60015202,2908507,BA,0.3928,0.6072,nao_alfabetizado
29110537,60016949,2915601,BA,0.3756,0.6244,nao_alfabetizado
31118040,60021000,3104205,MG,0.8745,0.1255,alfabetizado
35068655,60027582,3518404,SP,0.5684,0.4316,nao_alfabetizado
29161772,60016987,2923001,BA,0.4027,0.5973,nao_alfabetizado
23060502,60007242,2300200,CE,0.9766,0.0234,alfabetizado
35353611,60026656,3550308,SP,0.6292,0.3708,nao_alfabetizado
22026287,60007061,2206654,PI,0.2283,0.7717,nao_alfabetizado
29073611,60015232,2910800,BA,0.3256,0.6744,nao_alfabetizado
26046515,60012568,2611606,PE,0.5461,0.4539,nao_alfabetizado
26064369,60011664,2602803,PE,0.5827,0.4173,nao_alfabetizado
29165003,60017665,2923407,BA,0.3873,0.6127,nao_alfabetizado
21060160,60005256,2102101,MA,0.5097,0.4903,nao_alfabetizado
29261554,60017244,2933208,BA,0.3736,0.6264,nao_alfabetizado
15087562,60002796,1508407,PA,0.4545,0.5455,nao_alfabetizado
26031226,60012423,2610707,PE,0.5564,0.4436,nao_alfabetizado
22005285,60007179,2206803,PI,0.472,0.528,nao_alfabetizado
26063324,60011528,2601201,PE,0.7186,0.2814,alfabetizado
29238712,60014969,2930105,BA,0.2793,0.7207,nao_alfabetizado
21021638,60004739,2101970,MA,0.777,0.223,alfabetizado
23024267,60009458,2309607,CE,0.8929,0.1071,alfabetizado
31162871,60020861,3135050,MG,0.5687,0.4313,nao_alfabetizado
26056349,60012694,2615201,PE,0.7697,0.2303,alfabetizado
35062503,60030989,3549250,SP,0.5161,0.4839,nao_alfabetizado
29172589,60017224,2924603,BA,0.3811,0.6189,nao_alfabetizado
31201424,60021365,3165008,MG,0.8668,0.1332,alfabetizado
23065905,60009355,2304400,CE,0.7528,0.2472,alfabetizado
23059988,60007352,2308906,CE,0.9751,0.0249,alfabetizado
25009580,60010428,2512101,PB,0.7027,0.2973,alfabetizado
52059768,60040860,5215256,GO,0.8633,0.1367,alfabetizado
11002884,60000220,1101203,RO,0.6409,0.3591,nao_alfabetizado
35391437,60031581,3550308,SP,0.6292,0.3708,nao_alfabetizado
35192418,60030292,3549904,SP,0.6382,0.3618,nao_alfabetizado
35022795,60026409,3506003,SP,0.7012,0.2988,alfabetizado
52042035,60041997,5211909,GO,0.7428,0.2572,alfabetizado
28010969,60014533,2804805,SE,0.2687,0.7313,nao_alfabetizado
13036734,60001484,1302603,AM,0.5063,0.4937,nao_alfabetizado
35325255,60030595,3515707,SP,0.6374,0.3626,nao_alfabetizado
43028685,60037117,4307500,RS,0.4459,0.5541,nao_alfabetizado
35095969,60028630,3525300,SP,0.5958,0.4042,nao_alfabetizado
35291316,60026683,3529401,SP,0.7565,0.2435,alfabetizado
35420714,60026246,3550308,SP,0.4823,0.5177,nao_alfabetizado
35381542,60031500,3550308,SP,0.6292,0.3708,nao_alfabetizado
35218293,60027411,3519071,SP,0.5887,0.4113,nao_alfabetizado
35205473,60029101,3551702,SP,0.5304,0.4696,nao_alfabetizado
