id_municipio,nome_municipio,sigla_uf,regiao,taxa_2024,ic95_2024,criancas_nao_alfabetizadas_2024,meta_2025,taxa_prevista_2025,prob_nao_atingir_2025,gap_previsto_2025,acima_da_margem,prioridade
3304557,Rio de Janeiro,RJ,Sudeste,63.76,0.46,18058.0,63.97,67.3473,0.5861,3.3773,False,10583.0439
1302603,Manaus,AM,Norte,50.14,0.73,12280.0,61.28,47.8276,0.8516,-13.4524,True,10457.8672
2927408,Salvador,BA,Nordeste,36.75,0.86,7661.0,52.03,37.0738,0.8783,-14.9562,True,6728.8314
4106902,Curitiba,PR,Sul,65.96,0.82,5403.0,73.41,64.6926,0.8755,-8.7174,True,4730.1011
3301702,Duque de Caxias,RJ,Sudeste,45.38,1.21,4510.0,57.8,43.2245,0.9518,-14.5755,True,4292.8318
3303500,Nova Iguaçu,RJ,Sudeste,33.42,1.16,5187.0,47.44,38.0869,0.6241,-9.3531,True,3237.2323
3304904,São Gonçalo,RJ,Sudeste,43.72,1.48,3186.0,56.76,42.2025,0.9697,-14.5575,True,3089.3815
5002704,Campo Grande,MS,Centro-Oeste,51.76,0.99,5361.0,53.84,58.0872,0.5696,4.2472,False,3053.8209
2611606,Recife,PE,Nordeste,54.36,0.99,4911.0,68.08,57.3174,0.6037,-10.7626,True,2964.5425
3550308,São Paulo,SP,Sudeste,48.26,0.48,25407.0,51.06,58.6109,0.1146,7.5509,False,2911.7612
3300456,Belford Roxo,RJ,Sudeste,38.9,1.84,2770.0,48.64,40.6787,0.9667,-7.9613,True,2677.6306
1100205,Porto Velho,RO,Norte,50.84,1.38,2981.0,69.85,51.3983,0.8647,-18.4517,True,2577.8097
1501402,Belém,PA,Norte,46.08,1.55,2913.0,58.55,48.9109,0.884,-9.6391,True,2574.9939
2704302,Maceió,AL,Nordeste,40.94,1.33,3413.0,52.09,48.134,0.6464,-3.956,True,2206.0592
2111300,São Luís,MA,Nordeste,56.69,1.24,3026.0,58.04,58.9895,0.7204,0.9495,False,2179.8081
1506807,Santarém,PA,Norte,51.29,1.55,2416.0,63.11,51.3585,0.885,-11.7515,True,2138.2412
3205002,Serra,ES,Sudeste,57.12,1.31,2778.0,65.88,64.5819,0.7264,-1.2981,False,2018.0135
4305108,Caxias do Sul,RS,Sul,43.23,1.82,1988.0,72.56,47.03,0.9357,-25.53,True,1860.0753
2910800,Feira de Santana,BA,Nordeste,33.19,1.55,2357.0,46.42,34.1299,0.7598,-12.2901,True,1790.7516
1504208,Marabá,PA,Norte,50.67,1.82,1869.0,60.77,50.4248,0.9345,-10.3452,True,1746.5718
3305109,São João de Meriti,RJ,Sudeste,35.97,1.88,2046.0,50.86,40.2503,0.8385,-10.6097,True,1715.6076
1505536,Parauapebas,PA,Norte,49.48,1.89,1954.0,62.71,47.0917,0.8346,-15.6183,True,1630.9019
3106200,Belo Horizonte,MG,Sudeste,68.58,0.87,4266.0,64.91,71.9539,0.3782,7.0439,False,1613.4428
3302502,Magé,RJ,Sudeste,46.66,1.81,1859.0,57.18,48.9481,0.8451,-8.2319,True,1570.9647
4304606,Canoas,RS,Sul,41.67,2.21,1571.0,61.93,34.971,0.9789,-26.959,True,1537.7741
4309209,Gravataí,RS,Sul,41.04,2.18,1543.0,68.91,39.0951,0.9944,-29.8149,True,1534.3607
4209102,Joinville,SC,Sul,68.79,1.37,2103.0,70.43,73.9714,0.7075,3.5414,False,1487.816
4323002,Viamão,RS,Sul,38.95,2.1,1532.0,65.74,40.2367,0.9678,-25.5033,True,1482.7244
3301009,Campos dos Goytacazes,RJ,Sudeste,38.33,1.54,2911.0,51.68,41.8311,0.508,-9.8489,True,1478.8819
2607901,Jaboatão dos Guararapes,PE,Nordeste,54.98,1.43,2266.0,64.67,55.465,0.6207,-9.205,True,1406.3995
1500800,Ananindeua,PA,Norte,52.74,1.79,1723.0,65.86,55.9234,0.8142,-9.9366,True,1402.9183
3303302,Niterói,RJ,Sudeste,51.2,2.04,1447.0,61.09,55.1185,0.942,-5.9715,True,1363.0679
4313409,Novo Hamburgo,RS,Sul,36.03,2.13,1501.0,68.07,45.8163,0.9011,-22.2537,True,1352.5266
2918407,Juazeiro,BA,Nordeste,29.31,1.79,1763.0,45.77,34.6137,0.7653,-11.1563,True,1349.1631
2933307,Vitória da Conquista,BA,Nordeste,42.75,1.82,1618.0,58.3,41.441,0.8088,-16.859,True,1308.6941
3300704,Cabo Frio,RJ,Sudeste,55.08,2.09,1308.0,62.89,53.4896,0.9671,-9.4004,True,1264.992
4318705,São Leopoldo,RS,Sul,37.38,2.53,1261.0,64.51,38.5576,0.9904,-25.9524,True,1248.8643
1721000,Palmas,TO,Norte,56.97,1.8,1661.0,65.61,62.1949,0.7435,-3.4151,True,1234.9668
3518800,Guarulhos,SP,Sudeste,44.2,0.98,6691.0,52.23,53.9402,0.1836,1.7102,False,1228.3703
4300604,Alvorada,RS,Sul,37.03,2.56,1217.0,57.39,37.9904,0.9943,-19.3996,True,1210.0826
4105805,Colombo,PR,Sul,60.66,1.73,1445.0,69.76,61.38,0.8038,-8.38,True,1161.4868
4125506,São José dos Pinhais,PR,Sul,64.32,1.54,1626.0,71.26,65.7686,0.7034,-5.4914,True,1143.8076
4113700,Londrina,PR,Sul,72.99,1.3,1521.0,75.74,72.4843,0.7316,-3.2557,True,1112.7687
2507507,João Pessoa,PB,Nordeste,55.52,1.39,2646.0,57.49,53.5484,0.4125,-3.9416,True,1091.542
3302403,Macaé,RJ,Sudeste,59.48,1.86,1413.0,66.41,62.292,0.7706,-4.118,True,1088.841
4314407,Pelotas,RS,Sul,39.55,2.85,1062.0,46.81,38.3989,0.9824,-8.4111,True,1043.2825
2905701,Camaçari,BA,Nordeste,36.56,1.87,1619.0,47.7,36.969,0.6258,-10.731,True,1013.1422
2804805,Nossa Senhora do Socorro,SE,Nordeste,29.8,2.24,1282.0,35.42,35.1236,0.7625,-0.2964,False,977.5236
3301900,Itaboraí,RJ,Sudeste,50.47,2.01,1480.0,60.66,47.6822,0.6555,-12.9778,True,970.0756
2800308,Aracaju,SE,Nordeste,47.17,1.95,1438.0,44.53,52.3597,0.6708,7.8297,False,964.5684
1502400,Castanhal,PA,Norte,32.98,2.13,1642.0,41.06,39.4543,0.5801,-1.6057,False,952.5846
2700300,Arapiraca,AL,Nordeste,43.76,1.96,1492.0,52.24,52.0036,0.6312,-0.2364,False,941.7092
2925303,Porto Seguro,BA,Nordeste,45.5,2.08,1199.0,57.5,40.7333,0.7509,-16.7667,True,900.3881
3170206,Uberlândia,MG,Sudeste,62.64,1.44,2019.0,60.41,70.7036,0.4441,10.2936,False,896.593
3118601,Contagem,MG,Sudeste,69.05,1.45,1521.0,62.31,69.9618,0.583,7.6518,False,886.8112
1500602,Altamira,PA,Norte,45.35,2.49,1065.0,57.46,47.0941,0.8289,-10.3659,True,882.8021
4204202,Chapecó,SC,Sul,56.26,2.25,1076.0,63.99,59.5793,0.8155,-4.4107,True,877.4705
3201308,Cariacica,ES,Sudeste,64.63,1.41,1796.0,64.61,70.3793,0.4837,5.7693,False,868.7273
2304400,Fortaleza,CE,Nordeste,74.83,0.64,4517.0,75.85,78.2462,0.1917,2.3962,False,865.9727
1504422,Marituba,PA,Norte,48.98,2.59,959.0,64.73,51.7841,0.8774,-12.9459,True,841.4621
4316907,Santa Maria,RS,Sul,39.82,2.91,863.0,70.02,43.0771,0.9638,-26.9429,True,831.7363
1503606,Itaituba,PA,Norte,59.22,2.28,893.0,67.16,55.8971,0.904,-11.2629,True,807.2472
4108304,Foz do Iguaçu,PR,Sul,72.01,1.6,1062.0,75.15,71.9453,0.7537,-3.2047,True,800.4394
2903201,Barreiras,BA,Nordeste,36.09,2.31,1057.0,51.14,41.5284,0.7543,-9.6116,True,797.3436
4314100,Passo Fundo,RS,Sul,38.62,2.83,868.0,65.53,44.5918,0.8813,-20.9382,True,765.0082
4315602,Rio Grande,RS,Sul,43.25,2.87,864.0,62.61,41.1824,0.8766,-21.4276,True,757.3801
2913606,Ilhéus,BA,Nordeste,26.35,2.35,998.0,46.65,27.0298,0.749,-19.6202,True,747.4814
1501303,Barcarena,PA,Norte,39.5,2.54,1007.0,57.38,43.6539,0.7369,-13.7261,True,742.0986
2931350,Teixeira de Freitas,BA,Nordeste,35.04,2.53,888.0,61.04,36.8638,0.8177,-24.1762,True,726.1493
1500107,Abaetetuba,PA,Norte,35.85,2.65,953.0,52.46,41.5515,0.7537,-10.9085,True,718.3143
4115200,Maringá,PR,Sul,78.39,1.43,844.0,80.0,75.4114,0.8476,-4.5886,True,715.3429
